ID,From-ProfileID,To-ProfileID,RelationTypeID,RelationQualityID,Former,SanctionsEntryID
6659,2686,4697,15002,1,false,2686
8783,4632,4697,15001,1,false,4632
8782,4632,10465,15001,1,false,4632
17926,7916,4695,15001,1,false,7916
11791,8150,33974,91725,1,false,8150
1269,8155,8134,15002,1,false,8155
11792,8159,33974,91725,1,false,8159
17928,9647,4695,15002,1,false,9647
8153,10392,10465,15001,1,false,10392
19015,10392,18782,15001,1,false,10392
11789,10405,33983,91725,1,false,10405
11168,10604,10592,15003,1,false,10604
2915,11018,19100,91725,1,false,11018
17233,11195,10391,15001,1,false,11195
17232,11195,10392,15003,1,false,11195
10117,11317,10465,15001,1,false,11317
10124,11317,29788,15003,1,false,11317
813,11318,11639,15003,1540,false,11318
1988,11355,6636,15001,1540,false,11355
1989,11355,7140,15001,1540,false,11355
1987,11355,16223,91422,1540,false,11355
10110,11618,29788,15003,1,false,11618
8344,11620,26817,15003,1,false,11620
2288,11648,9346,15002,1,false,11648
967,11755,11773,15002,1,false,11755
966,11755,11783,15002,1,false,11755
8755,11786,10465,15002,1,false,11786
8754,11786,10481,15002,1,false,11786
5256,11812,11862,15002,1540,false,11812
9603,12090,12101,15003,1,false,12090
14993,12477,10391,15003,1,false,12477
8155,12478,10391,15003,1,false,12478
8154,12478,10465,15001,1,false,12478
10223,12479,30346,15002,1,false,12479
10888,12587,12581,15002,1,false,12587
5899,12625,23223,15002,1,false,12625
7017,12727,10391,15003,1,false,12727
7016,12727,10465,15001,1,false,12727
7019,12802,25018,15003,1,false,12802
38,12891,12894,15003,1540,false,12891
39,12891,12895,15003,1540,false,12891
40,12892,12895,15003,1540,false,12892
41,12892,12896,15003,1540,false,12892
1589,12989,12975,15003,1,false,12989
1590,12989,12979,15003,1,false,12989
1591,12989,12980,15003,1,false,12989
1490,12989,16795,91422,1,false,12989
1484,12991,12983,91422,1,false,12991
1485,12991,12984,91422,1,false,12991
1483,12991,16786,91422,1,false,12991
1482,12991,16800,91422,1,false,12991
5903,13087,23223,15001,1,false,13087
5898,13088,23223,15002,1,false,13088
1,13124,13128,15003,1,false,13124
2,13125,13129,15003,1,false,13125
10024,13140,25580,15003,1,false,13140
10043,13146,13131,15003,1,false,13146
5896,13165,23223,15002,1,false,13165
2009,13170,17350,15003,1,false,13170
2011,13170,17352,15003,1,false,13170
2013,13170,17612,15003,1,false,13170
2012,13170,17613,15003,1,false,13170
2010,13170,17626,15003,1,false,13170
285,13173,15015,15003,1,false,13173
11,13366,13419,15003,1542,false,13366
12,13366,13420,15003,1542,false,13366
190,13371,15187,15002,1,false,13371
749,13376,13353,91422,1,false,13376
747,13376,13355,15003,1,false,13376
748,13376,13356,15003,1,false,13376
746,13376,13378,15003,1,false,13376
750,13376,15712,91422,1,false,13376
886,13376,15714,15003,1,false,13376
752,13376,15854,15003,1,false,13376
751,13376,15865,91422,1,false,13376
761,13377,13353,15003,1,false,13377
755,13377,13355,15003,1,false,13377
754,13377,13356,15003,1,false,13377
753,13377,13378,15003,1,false,13377
757,13377,15708,15003,1,false,13377
763,13377,15709,15003,1,false,13377
759,13377,15710,91422,1,false,13377
758,13377,15711,15003,1,false,13377
764,13377,15712,91422,1,false,13377
885,13377,15714,15003,1,false,13377
766,13377,15715,91422,1,false,13377
762,13377,15857,15003,1,false,13377
765,13377,15865,15003,1,false,13377
756,13377,15866,15003,1,false,13377
760,13377,15867,15003,1,false,13377
767,13377,15868,15003,1,false,13377
13,13406,13420,15003,1542,false,13406
286,13406,15342,15003,1540,false,13406
14,13407,13420,15003,1542,false,13407
15,13408,13365,15003,1542,false,13408
17,13408,13405,15003,1542,false,13408
16,13408,13466,15003,1542,false,13408
20,13413,13405,15003,1542,false,13413
21,13413,13421,15003,1542,false,13413
18,13413,13465,15003,1542,false,13413
19,13413,13466,15003,1542,false,13413
22,13413,15014,15003,1542,false,13413
24,13414,13365,15003,1542,false,13414
23,13414,13446,15003,1542,false,13414
25,13414,13465,15003,1542,false,13414
26,13414,15014,15003,1542,false,13414
27,13422,13419,15003,1542,false,13422
28,13422,13420,15003,1542,false,13422
2270,13423,4697,91422,1,false,13423
29,13447,13420,15003,1542,false,13447
464,13447,15521,15003,1,false,13447
30,13479,13365,15003,1542,false,13479
32,13479,13405,15003,1542,false,13479
31,13479,13466,15003,1542,false,13479
33,13480,13419,1555,1542,false,13480
34,13480,13420,1555,1542,false,13480
287,13480,15337,15003,1540,false,13480
169,13481,15169,15003,1,false,13481
216,13481,15182,15003,1,false,13481
217,13481,15184,15003,1,false,13481
218,13481,15186,15003,1,false,13481
202,13481,15189,15003,1,false,13481
47,15005,6636,15001,1540,false,15005
42,15006,6636,15001,1540,false,15006
44,15007,6636,15001,1540,false,15007
43,15007,15006,15003,1540,false,15007
45,15008,6636,15001,1540,false,15008
46,15008,15006,15003,1540,false,15008
144,15036,15117,15003,1,false,15036
73,15037,15117,15003,1,false,15037
74,15038,15117,15003,1,false,15038
75,15039,15117,15003,1,false,15039
145,15040,15117,15003,1,false,15040
146,15041,15117,15003,1,false,15041
76,15042,15117,15003,1,false,15042
77,15043,15117,15003,1,false,15043
78,15044,15117,15003,1,false,15044
79,15045,15117,15003,1,false,15045
80,15046,15117,15003,1,false,15046
81,15047,15117,15003,1,false,15047
82,15048,15117,15003,1,false,15048
84,15049,15117,15003,1,false,15049
83,15050,15117,15003,1,false,15050
85,15051,15117,15003,1,false,15051
86,15052,15117,15003,1,false,15052
87,15053,15117,15003,1,false,15053
88,15054,15117,15003,1,false,15054
89,15055,15117,15003,1,false,15055
8766,15055,27328,15003,1,false,15055
90,15056,15117,15003,1,false,15056
147,15057,15117,15003,1,false,15057
148,15058,15117,15003,1,false,15058
149,15059,15117,15003,1,false,15059
91,15060,15117,15003,1,false,15060
92,15061,15117,15003,1,false,15061
93,15062,15117,15003,1,false,15062
151,15068,15117,15003,1,false,15068
98,15070,15117,15003,1,false,15070
101,15073,15117,15003,1,false,15073
102,15074,15117,15003,1,false,15074
103,15075,15117,15003,1,false,15075
104,15076,15117,15003,1,false,15076
105,15077,15117,15003,1,false,15077
106,15078,15117,15003,1,false,15078
107,15079,15117,15003,1,false,15079
108,15080,15117,15003,1,false,15080
109,15081,15117,15003,1,false,15081
110,15082,15117,15003,1,false,15082
112,15084,15117,15003,1,false,15084
113,15085,15117,15003,1,false,15085
114,15086,15117,15003,1,false,15086
115,15087,15117,15003,1,false,15087
116,15088,15117,15003,1,false,15088
117,15089,15117,15003,1,false,15089
118,15090,15117,15003,1,false,15090
8769,15090,27328,15003,1,false,15090
119,15091,15117,15003,1,false,15091
120,15092,15117,15003,1,false,15092
121,15093,15117,15003,1,false,15093
123,15095,15117,15003,1,false,15095
71,15102,15113,15003,1,false,15102
61,15114,15001,15003,1,false,15114
62,15115,15001,15003,1,false,15115
63,15116,15001,15003,1,false,15116
10118,15117,10465,15001,1,false,15117
153,15118,15117,15003,1,false,15118
154,15119,15117,15003,1,false,15119
155,15120,15117,15003,1,false,15120
156,15121,15117,15003,1,false,15121
157,15122,15117,15003,1,false,15122
124,15123,15117,15003,1,false,15123
125,15124,15117,15003,1,false,15124
126,15125,15117,15003,1,false,15125
127,15126,15117,15003,1,false,15126
128,15127,15117,15003,1,false,15127
129,15128,15117,15003,1,false,15128
130,15129,15117,15003,1,false,15129
131,15130,15117,15003,1,false,15130
132,15131,15117,15003,1,false,15131
133,15132,15117,15003,1,false,15132
134,15133,15117,15003,1,false,15133
135,15134,15117,15003,1,false,15134
136,15135,15117,15003,1,false,15135
137,15136,15117,15003,1,false,15136
138,15137,15117,15003,1,false,15137
139,15138,15117,15003,1,false,15138
140,15139,15117,15003,1,false,15139
141,15140,15117,15003,1,false,15140
142,15141,15117,15003,1,false,15141
143,15142,15117,15003,1,false,15142
158,15144,15117,15003,1,false,15144
159,15145,15117,15003,1,false,15145
386,15431,13109,15003,1,false,15431
387,15432,13109,15003,1,false,15432
389,15433,13109,15003,1,false,15433
390,15434,13109,15003,1,false,15434
391,15435,13109,15003,1,false,15435
392,15436,12927,15003,1,false,15436
388,15437,12927,15003,1,false,15437
393,15438,12927,15003,1,false,15438
394,15439,12927,15003,1,false,15439
395,15440,12927,15003,1,false,15440
396,15441,12927,15003,1,false,15441
397,15442,12927,15003,1,false,15442
398,15443,12927,15003,1,false,15443
399,15444,12927,15003,1,false,15444
400,15445,12927,15003,1,false,15445
401,15449,12927,15003,1,false,15449
402,15450,12927,15003,1,false,15450
403,15451,12927,15003,1,false,15451
404,15452,12927,15003,1,false,15452
405,15453,12927,15003,1,false,15453
406,15454,12927,15003,1,false,15454
407,15455,12927,15003,1,false,15455
410,15456,12927,15003,1,false,15456
411,15457,12927,15003,1,false,15457
412,15458,12927,15003,1,false,15458
409,15459,12927,15003,1,false,15459
413,15460,12927,15003,1,false,15460
414,15461,12927,15003,1,false,15461
415,15462,12927,15003,1,false,15462
416,15463,12927,15003,1,false,15463
417,15464,12927,15003,1,false,15464
418,15465,12927,15003,1,false,15465
420,15466,12927,15003,1,false,15466
427,15467,12927,15003,1,false,15467
432,15468,12927,15003,1,false,15468
431,15469,12927,15003,1,false,15469
430,15470,12927,15003,1,false,15470
429,15471,12927,15003,1,false,15471
428,15472,12927,15003,1,false,15472
426,15473,12927,15003,1,false,15473
425,15474,12927,15003,1,false,15474
424,15475,12927,15003,1,false,15475
423,15476,12927,15003,1,false,15476
422,15477,12927,15003,1,false,15477
421,15478,12927,15003,1,false,15478
419,15481,12927,15003,1,false,15481
408,15482,12927,15003,1,false,15482
435,15496,15495,15002,1540,false,15496
434,15497,15495,15002,1540,false,15497
454,15522,13419,15002,1,false,15522
455,15522,13420,15002,1,false,15522
456,15523,13419,15002,1,false,15523
457,15523,13420,15002,1,false,15523
458,15525,13365,15002,1,false,15525
461,15525,13405,15002,1,false,15525
462,15525,13421,15002,1,false,15525
459,15525,13465,15002,1,false,15525
460,15525,13466,15002,1,false,15525
463,15525,15014,15002,1,false,15525
466,15528,15529,91422,1,false,15528
494,15613,13440,15003,1,false,15613
495,15614,13440,15003,1,false,15614
496,15617,13440,15003,1,false,15617
497,15618,13440,15003,1,false,15618
498,15619,13440,15003,1,false,15619
499,15620,13440,15003,1,false,15620
500,15621,13440,15003,1,false,15621
501,15622,13440,15003,1,false,15622
502,15623,13440,15003,1,false,15623
503,15624,13440,15003,1,false,15624
504,15625,13440,15003,1,false,15625
505,15626,13440,15003,1,false,15626
506,15627,13440,15003,1,false,15627
507,15628,13440,15003,1,false,15628
508,15629,13440,15003,1,false,15629
509,15644,10153,15003,1540,false,15644
5905,15645,23223,15002,1,false,15645
510,15654,11438,15002,1,false,15654
513,15655,11438,15002,1,false,15655
2287,15656,9346,15002,1,false,15656
536,15677,15673,15002,1,false,15677
539,15678,15673,15002,1,false,15678
537,15685,15673,15002,1,false,15685
538,15685,15674,15002,1,false,15685
592,15685,15768,15003,1,false,15685
540,15687,15664,15002,1,false,15687
541,15687,15673,15002,1,false,15687
542,15687,15674,15002,1,false,15687
544,15687,15675,15002,1,false,15687
543,15687,15676,15002,1,false,15687
591,15687,15768,15003,1,false,15687
546,15688,15664,15002,1,false,15688
545,15688,15676,15002,1,false,15688
796,15701,13355,91422,1,false,15701
797,15701,15708,91422,1,false,15701
798,15701,15709,91422,1,false,15701
795,15701,15710,91422,1,false,15701
794,15701,15711,15003,1,false,15701
800,15701,15712,91422,1,false,15701
799,15701,15857,91422,1,false,15701
801,15701,15869,91422,1,false,15701
883,15701,15943,15003,1,false,15701
770,15705,13355,91422,1,false,15705
768,15705,13378,91422,1,false,15705
771,15705,15708,91422,1,false,15705
769,15705,15709,91422,1,false,15705
887,15705,15714,15003,1,false,15705
8767,15725,15117,15003,1,false,15725
8768,15725,27328,15003,1,false,15725
7656,15727,15117,15003,1,false,15727
561,15740,13440,15003,1540,false,15740
562,15741,13440,15003,1,false,15741
563,15742,13440,15003,1,false,15742
564,15743,13440,15003,1,false,15743
565,15744,13440,15003,1,false,15744
566,15745,13440,15003,1,false,15745
567,15746,13440,15003,1,false,15746
568,15747,13440,15003,1,false,15747
569,15748,13440,15003,1,false,15748
570,15749,13440,15003,1,false,15749
573,15751,13440,15003,1,false,15751
574,15752,13440,15003,1,false,15752
575,15753,13440,15003,1,false,15753
576,15754,13440,15003,1,false,15754
577,15755,13440,15003,1,false,15755
578,15756,13440,15003,1,false,15756
579,15757,13440,15003,1,false,15757
580,15758,13440,15003,1,false,15758
581,15759,13440,15003,1,false,15759
582,15760,13440,15003,1,false,15760
583,15761,13440,15003,1,false,15761
584,15762,13440,15003,1,false,15762
585,15763,13440,15003,1,false,15763
3183,15771,19490,91725,1,false,15771
603,15782,13365,15002,1,false,15782
606,15782,13405,15002,1,false,15782
607,15782,13421,15002,1,false,15782
594,15782,13446,15002,1,false,15782
604,15782,13465,15002,1,false,15782
605,15782,13466,15002,1,false,15782
608,15782,15014,15002,1,false,15782
610,15783,13365,15002,1,false,15783
613,15783,13405,15002,1,false,15783
614,15783,13421,15002,1,false,15783
609,15783,13446,15002,1,false,15783
611,15783,13465,15002,1,false,15783
612,15783,13466,15002,1,false,15783
615,15783,15014,15002,1,false,15783
617,15784,13365,15002,1,false,15784
620,15784,13405,15002,1,false,15784
621,15784,13421,15002,1,false,15784
616,15784,13446,15002,1,false,15784
618,15784,13465,15002,1,false,15784
619,15784,13466,15002,1,false,15784
622,15784,15014,15002,1,false,15784
624,15785,13365,15002,1,false,15785
627,15785,13405,15002,1,false,15785
628,15785,13421,15002,1,false,15785
623,15785,13446,15002,1,false,15785
625,15785,13465,15002,1,false,15785
626,15785,13466,15002,1,false,15785
629,15785,15014,15002,1,false,15785
631,15786,13365,15002,1,false,15786
634,15786,13405,15002,1,false,15786
635,15786,13421,15002,1,false,15786
630,15786,13446,15002,1,false,15786
632,15786,13465,15002,1,false,15786
633,15786,13466,15002,1,false,15786
652,15835,13420,15002,1,false,15835
653,15835,15342,15002,1,false,15835
1953,15840,16837,91422,1,false,15840
1951,15840,16838,91422,1,false,15840
1948,15840,16839,91422,1,false,15840
1947,15840,16840,91422,1,false,15840
1949,15840,16841,91422,1,false,15840
1955,15840,16859,91422,1,false,15840
1950,15840,17098,91422,1,false,15840
1952,15840,17099,91422,1,false,15840
1954,15840,17100,91422,1,false,15840
734,15855,15864,15003,1540,false,15855
833,15859,15117,15003,1,false,15859
742,15860,15864,15003,1,false,15860
740,15861,15864,15002,1540,false,15861
744,15863,15864,15002,1540,false,15863
7655,15902,15117,15003,1,false,15902
7654,15903,15117,15003,1,false,15903
7653,15904,15117,15003,1,false,15904
7652,15905,15117,15003,1,false,15905
7651,15906,15117,15003,1,false,15906
834,15907,15117,15003,1,false,15907
835,15908,15117,15003,1,false,15908
8338,15950,26817,15003,1,false,15950
8340,15951,26817,15003,1,false,15951
8342,15952,26817,15003,1,false,15952
8357,15953,26817,15003,1,false,15953
8359,15954,26817,15003,1,false,15954
8368,15955,26817,15003,1,false,15955
10564,16006,16004,15003,1,false,16006
10565,16010,16006,15003,1,false,16010
10566,16029,16010,15003,1,false,16029
10568,16030,16010,15003,1,false,16030
10569,16031,16010,15003,1,false,16031
10570,16041,16010,15003,1,false,16041
2936,16133,12816,15002,1,false,16133
1005,16210,11528,15004,1540,false,16210
1008,16210,16211,15003,1540,false,16210
1492,16318,16319,15003,1540,false,16318
1263,16371,16469,15003,1,false,16371
17598,16418,10392,15003,1,false,16418
1246,16434,12951,15002,1,false,16434
1244,16435,12951,15002,1,false,16435
1262,16450,16451,15003,1540,false,16450
1967,16452,4697,15002,1,false,16452
1265,16456,16471,15003,1,false,16456
1266,16460,16472,15003,1,false,16460
1264,16462,16470,15003,1,false,16462
1267,16467,16473,15003,1,false,16467
1268,16468,16474,15003,1,false,16468
1365,16580,16607,15003,1,false,16580
1366,16580,16608,15003,1,false,16580
1407,16580,16643,15003,1,false,16580
1391,16581,16607,15002,1,false,16581
1406,16582,16607,15002,1,false,16582
1405,16582,16643,15002,1,false,16582
2842,16601,16641,15001,1,false,16601
12686,16666,16806,91725,1,false,16666
12532,16671,16829,91725,1,false,16671
12583,16680,20283,91725,1,false,16680
1767,16727,16731,15003,1540,false,16727
12687,16807,16666,15003,1,false,16807
1527,16814,16836,91422,1,false,16814
1528,16814,16842,91422,1,false,16814
1668,16814,16858,91422,1,false,16814
1667,16814,17099,91422,1,false,16814
1529,16815,16841,91422,1,false,16815
1907,16815,17098,91422,1,false,16815
1493,16817,16319,1555,1,false,16817
1494,16818,16319,15002,1,false,16818
1609,16819,16319,15003,1,false,16819
1525,16855,16854,15002,1,false,16855
1526,16856,16854,15002,1,false,16856
1595,16861,16860,15002,1,false,16861
1554,16900,16904,15003,1,false,16900
1553,16900,16905,15003,1,false,16900
1552,16900,16906,15003,1,false,16900
1557,16901,16904,15003,1,false,16901
1556,16901,16905,15003,1,false,16901
1555,16901,16906,15003,1,false,16901
1558,16903,16906,15003,1,false,16903
1608,16966,16972,15003,1,false,16966
1615,16974,16985,15003,1,false,16974
1616,16974,16990,15003,1,false,16974
13449,17017,17013,15003,1,false,17017
13470,17024,37659,91725,1,false,17024
1651,17036,17040,15002,1,false,17036
1652,17039,17034,15003,1,false,17039
1650,17040,17036,15003,1,false,17040
3462,17040,17039,15003,1,false,17040
1647,17041,17037,15003,1,false,17041
1648,17041,17039,15003,1,false,17041
1653,17042,17034,15003,1,false,17042
3461,17042,17039,15003,1,false,17042
3460,17043,17039,15003,1,false,17043
3458,17044,17039,15003,1,false,17044
3459,17045,17039,15003,1,false,17045
1669,17097,17101,91422,1,false,17097
2267,17160,4697,15002,1,false,17160
1688,17164,7140,15001,1542,false,17164
1689,17165,7140,15001,1542,false,17165
1687,17165,17164,15003,1,false,17165
1712,17213,15909,15002,1,false,17213
1713,17214,15909,15002,1,false,17214
1720,17225,12480,1555,1,false,17225
1718,17228,12927,15002,1,false,17228
1717,17229,12927,15002,1,false,17229
1724,17246,17247,15003,1,false,17246
1727,17268,4696,15002,1540,false,17268
1728,17270,7140,15002,1540,false,17270
1729,17271,17270,15003,1540,false,17271
1731,17272,7140,15002,1540,false,17272
1734,17272,17271,15002,1540,false,17272
1732,17273,17272,15003,1540,false,17273
2008,17312,17613,91422,1,false,17312
2007,17314,17626,15003,1,false,17314
1847,17507,17005,15002,1,false,17507
1868,17507,17509,15002,1,false,17507
1827,17508,17005,15002,1540,false,17508
1867,17508,17510,15002,1,false,17508
1830,17509,17005,15001,1540,false,17509
1829,17510,17005,15001,1540,false,17510
1828,17510,17509,15001,1540,false,17510
1887,17673,17672,91422,1540,false,17673
2821,17673,18413,15003,1,false,17673
3016,17673,18823,15003,1,false,17673
1972,17768,16452,15003,1,false,17768
1975,17768,17771,15003,1,false,17768
1970,17769,16452,15003,1,false,17769
1973,17769,17771,15003,1,false,17769
1971,17770,16452,15003,1,false,17770
1974,17770,17771,15003,1,false,17770
1968,17771,4697,15002,1,false,17771
2067,17787,13071,15002,1,false,17787
2069,17787,13072,15002,1,false,17787
2068,17787,13073,15002,1,false,17787
2071,17788,13071,15002,1,false,17788
2072,17788,13073,15002,1,false,17788
2070,17788,17787,15002,1,false,17788
1969,17789,4697,15002,1,false,17789
2327,18047,16937,1555,1540,false,18047
2328,18048,6366,1555,1540,false,18048
3404,18067,18070,15003,1540,false,18067
2368,18067,18071,15003,1,false,18067
2370,18070,18067,15003,1,false,18070
2369,18071,18067,15003,1,false,18071
2087,18097,18087,15003,1,false,18097
2090,18097,18089,15003,1,false,18097
2089,18097,18090,15003,1,false,18097
2088,18097,18093,15003,1,false,18097
2777,18097,18821,15003,1,false,18097
2778,18097,18822,15003,1,false,18097
2779,18097,18824,15003,1,false,18097
2780,18097,18825,15003,1,false,18097
2781,18097,18826,15003,1,false,18097
2107,18107,18087,15003,1,false,18107
2108,18107,18090,15003,1,false,18107
2776,18107,18821,15003,1,false,18107
5536,18107,21666,15003,1,false,18107
2110,18108,18089,15003,1,false,18108
2113,18108,18092,15003,1,false,18108
2109,18108,18093,15003,1,false,18108
2111,18108,18094,15003,1,false,18108
2112,18108,18095,15003,1,false,18108
2782,18108,18821,15003,1,false,18108
2783,18108,18822,15003,1,false,18108
2784,18108,18824,15003,1,false,18108
2785,18108,18825,15003,1,false,18108
5537,18108,21883,15003,1,false,18108
2129,18127,18128,15002,1,false,18127
2128,18127,18129,15002,1,false,18127
2130,18127,18130,15002,1,false,18127
2127,18127,18131,15002,1,false,18127
2786,18127,18828,15003,1,false,18127
2132,18132,18128,15003,1,false,18132
2131,18132,18129,15003,1,false,18132
2133,18132,18130,15003,1,false,18132
2158,18133,12927,15001,1,false,18133
2156,18134,12927,15001,1,false,18134
2157,18135,12927,15001,1,false,18135
2150,18150,12927,15003,1,false,18150
2148,18151,12927,15003,1,false,18151
2149,18152,12927,15003,1,false,18152
2147,18153,12927,15003,1,false,18153
2151,18154,12927,15003,1,false,18154
2152,18155,12927,15003,1,false,18155
2153,18156,12927,15003,1,false,18156
2154,18157,12927,15003,1,false,18157
2155,18158,12927,15003,1,false,18158
2167,18213,18210,15003,1,false,18213
2168,18215,18210,15003,1,false,18215
2169,18216,18210,15003,1,false,18216
2180,18218,4697,15001,1,false,18218
2176,18219,18218,15003,1540,false,18219
2177,18220,18218,15003,1540,false,18220
2178,18220,18219,15003,1540,false,18220
2179,18221,18219,15003,1540,false,18221
2181,18222,4697,15001,1540,false,18222
2182,18223,4697,15002,1,false,18223
2184,18224,4697,15001,1,false,18224
2249,18249,17507,15003,1,false,18249
2250,18249,17509,15003,1,false,18249
2251,18250,17507,15003,1,false,18250
2198,18268,17015,15003,1,false,18268
2193,18272,17015,15003,1,false,18272
2194,18273,17015,15003,1,false,18273
2200,18281,17015,15003,1,false,18281
2188,18286,17015,15003,1,false,18286
2189,18287,17015,15003,1,false,18287
2190,18288,17015,15003,1,false,18288
2203,18291,17015,15003,1,false,18291
2204,18293,17015,15003,1,false,18293
2191,18295,17015,15003,1,false,18295
12535,18310,16671,15004,1,false,18310
2223,18325,16721,15003,1540,false,18325
2232,18328,17507,15001,1,false,18328
2233,18328,17509,15001,1,false,18328
2230,18329,18328,15002,1,false,18329
2231,18329,18343,15002,1,false,18329
2234,18330,18328,15002,1,false,18330
2235,18331,18328,15002,1,false,18331
2236,18332,18328,15002,1,false,18332
2239,18333,17509,15002,1,false,18333
2237,18333,18328,15002,1,false,18333
2238,18333,18343,15002,1,false,18333
2240,18334,18328,15003,1,false,18334
2241,18335,18328,15003,1,false,18335
2227,18336,18328,15003,1,false,18336
2228,18337,18328,15003,1,false,18337
2229,18338,18328,15003,1,false,18338
2242,18339,18328,15003,1,false,18339
2244,18340,18328,15003,1,false,18340
2245,18340,18334,15003,1,false,18340
2246,18341,18328,15003,1,false,18341
2247,18341,18335,15003,1,false,18341
2248,18342,18328,15003,1,false,18342
2243,18343,18328,15003,1,false,18343
2269,18348,4697,91422,1,false,18348
2268,18349,4697,91422,1,false,18349
2796,18372,15871,15002,1,false,18372
2472,18527,4695,15002,1540,false,18527
2473,18528,4695,15002,1540,false,18528
2474,18529,4695,15002,1540,false,18529
2469,18530,4695,15002,1540,false,18530
2467,18531,4695,15002,1540,false,18531
2468,18533,4695,15002,1540,false,18533
2470,18535,4695,15002,1540,false,18535
2471,18536,4695,15002,1540,false,18536
2447,18536,18535,15003,1540,false,18536
2761,18552,9345,15002,1540,false,18552
2486,18554,15603,15002,1,false,18554
2484,18555,9346,15002,1540,false,18555
2485,18556,9346,15002,1,false,18556
2482,18557,9346,15002,1540,false,18557
2481,18558,9346,15002,1540,false,18558
2483,18559,9346,15002,1540,false,18559
2477,18570,18572,15003,1,false,18570
2916,18601,16363,15002,1540,false,18601
2917,18602,16363,15002,1540,false,18602
2556,18648,8759,15002,1,false,18648
2557,18650,12756,15002,1,false,18650
2560,18652,8759,15002,1,false,18652
2558,18657,16911,15002,1540,false,18657
2856,18657,18317,15002,1,false,18657
2561,18658,16911,15002,1540,false,18658
2857,18659,18317,15002,1,false,18659
2563,18660,18661,15002,1540,false,18660
2596,18668,9345,15002,1540,false,18668
2659,18669,17018,15003,1,false,18669
2576,18688,6636,15002,1,false,18688
2661,18708,17018,15003,1,false,18708
2665,18709,17018,15003,1,false,18709
2666,18710,17018,15003,1,false,18710
2664,18714,17018,15003,1,false,18714
2667,18715,17018,15003,1,false,18715
2656,18716,17018,15003,1,false,18716
2727,18721,17013,15003,1,false,18721
2728,18722,17013,15003,1,false,18722
2736,18723,17013,15003,1,false,18723
2737,18724,17013,15003,1,false,18724
2729,18725,17013,15003,1,false,18725
2725,18726,17013,15003,1,false,18726
2738,18729,17013,15003,1,false,18729
2739,18730,17013,15003,1,false,18730
2740,18731,17013,15003,1,false,18731
2726,18733,17013,15003,1,false,18733
2721,18734,17013,15003,1,false,18734
2732,18735,17013,15003,1,false,18735
2741,18736,17013,15003,1,false,18736
2733,18737,17013,15003,1,false,18737
2723,18739,17013,15003,1,false,18739
2724,18740,17013,15003,1,false,18740
2712,18741,17018,15003,1,false,18741
2716,18743,17018,15003,1,false,18743
2717,18744,17018,15003,1,false,18744
2707,18748,17018,15003,1,false,18748
2711,18749,17018,15003,1,false,18749
2708,18750,17018,15003,1,false,18750
2713,18751,17018,15003,1,false,18751
2709,18753,17018,15003,1,false,18753
2669,18769,17260,15003,1,false,18769
2690,18770,17260,15003,1,false,18770
2696,18772,17260,15003,1,false,18772
2698,18774,17260,15003,1,false,18774
2671,18779,17260,15003,1,false,18779
2679,18782,17260,15003,1,false,18782
2637,18784,17260,15003,1540,false,18784
2688,18788,17260,15003,1,false,18788
2676,18795,17260,15003,1,false,18795
2694,18820,17260,15003,1,false,18820
2616,18848,9345,15002,1540,false,18848
2756,18928,17037,15003,1,false,18928
2787,18929,17037,15003,1,false,18929
2757,18930,4697,15001,1,false,18930
2758,18931,18930,15003,1,false,18931
2760,18933,18932,15003,1,false,18933
3251,18940,18939,91725,1,false,18940
3252,18941,18939,91725,1,false,18941
3253,18942,18939,15001,1,false,18942
3250,18943,18939,15001,1,false,18943
3256,18944,18939,15001,1,false,18944
5316,18957,18956,91725,1,false,18957
4378,18958,18956,15002,1540,false,18958
4382,18959,18956,15002,1540,false,18959
5317,18960,18956,91422,1,false,18960
5758,18960,21572,15003,1540,false,18960
5759,18960,21573,15003,1540,false,18960
4373,18969,18956,15002,1540,false,18969
5761,18969,21576,15003,1540,false,18969
4376,18970,18956,15002,1540,false,18970
4377,18971,18956,15002,1,false,18971
2822,18988,13471,15002,1,false,18988
2823,18988,17266,15002,1,false,18988
2824,18989,13471,15002,1,false,18989
2825,18989,17266,15002,1,false,18989
2827,18990,17346,15002,1,false,18990
2828,18990,18988,15002,1,false,18990
2829,18991,18988,15002,1,false,18991
2830,18991,18990,15002,1,false,18991
2831,18992,18988,15003,1,false,18992
2832,18992,18990,15003,1,false,18992
2833,18992,18991,15003,1,false,18992
2835,18993,18988,15003,1,false,18993
2836,18993,18990,15003,1,false,18993
2837,18993,18991,15003,1,false,18993
2838,18994,18988,15003,1,false,18994
2839,18995,18988,15003,1,false,18995
2840,18995,18989,15003,1,false,18995
2841,18997,18996,15003,1,false,18997
2957,19028,16807,15003,1,false,19028
2959,19036,16829,15003,1,false,19036
2960,19037,16829,15003,1,false,19037
2958,19038,16825,15003,1,false,19038
2956,19040,16828,15003,1,false,19040
3274,19130,18939,15002,1,false,19130
3418,19133,19134,15002,1,false,19133
3422,19135,19134,15002,1,false,19135
3420,19136,19134,15002,1,false,19136
3425,19138,19134,15002,1,false,19138
3421,19139,19134,15002,1,false,19139
3423,19140,19134,15002,1,false,19140
3424,19141,19134,15002,1,false,19141
3419,19142,19134,15002,1,false,19142
2981,19228,9349,15002,1,false,19228
2976,19229,10392,15002,1540,false,19229
